SampleID,N_predicted
CLY24.C8BC.1_VT_e0_p1,3.582828892
CLY24.C8BC.1_VT_e1_p1,3.288126761
CLY24.C8BC.1_VT_e2_p1,3.625695426
CLY24.C8BC.1_VT_e3_p1,3.396401086
CLY24.C8BC.10_VT_e0_p1,3.198097178
CLY24.C8BC.10_VT_e1_p1,2.66749215
CLY24.C8BC.10_VT_e2_p1,2.712838886
CLY24.C8BC.10_VT_e3_p1,3.009636937
CLY24.C8BC.13_VT_e0_p1,2.842276312
CLY24.C8BC.13_VT_e1_p1,3.096646118
CLY24.C8BC.13_VT_e2_p1,2.997038234
CLY24.C8BC.13_VT_e3_p1,2.662394387
CLY24.C8BC.18_VT_e0_p1,3.152025859
CLY24.C8BC.18_VT_e1_p1,3.617516071
CLY24.C8BC.18_VT_e2_p1,3.657557194
CLY24.C8BC.18_VT_e3_p1,3.091431969
CLY24.C8BC.21_VT_e0_p1,3.019246644
CLY24.C8BC.21_VT_e1_p1,3.220576166
CLY24.C8BC.21_VT_e2_p1,3.289807062
CLY24.C8BC.21_VT_e3_p1,3.283500586
CLY24.C8BC.24_VT_e0_p1,3.410641977
CLY24.C8BC.24_VT_e1_p1,3.54148281
CLY24.C8BC.24_VT_e2_p1,3.842179539
CLY24.C8BC.24_VT_e3_p1,3.632193823
CLY24.C8BC.27_VT_e0_p1,3.855935296
CLY24.C8BC.27_VT_e1_p1,2.781745069
CLY24.C8BC.27_VT_e2_p1,3.526507567
CLY24.C8BC.27_VT_e3_p1,3.607443423
CLY24.C8BC.30_VT_e0_p1,3.554541501
CLY24.C8BC.30_VT_e1_p1,3.342267985
CLY24.C8BC.30_VT_e2_p1,3.304969542
CLY24.C8BC.30_VT_e3_p1,3.137416503
CLY24.C8BC.301_VT_e0_p1,3.937027711
CLY24.C8BC.301_VT_e1_p1,4.334515924
CLY24.C8BC.301_VT_e2_p1,4.791105552
CLY24.C8BC.301_VT_e3_p1,4.004997912
CLY24.C8BC.304_VT_e0_p1,4.56871235
CLY24.C8BC.304_VT_e1_p1,4.180096638
CLY24.C8BC.304_VT_e2_p1,4.475420381
CLY24.C8BC.304_VT_e3_p1,4.239197563
CLY24.C8BC.307_VT_e0_p1,3.919469121
CLY24.C8BC.307_VT_e1_p1,4.076639971
CLY24.C8BC.307_VT_e2_p1,3.949648076
CLY24.C8BC.307_VT_e3_p1,3.700877201
CLY24.C8BC.31_VT_e1_p1,4.145775915
CLY24.C8BC.31_VT_e2_p1,4.104155269
CLY24.C8BC.31_VT_e3_p1,3.692406626
CLY24.C8BC.310_VT_e0_p1,4.225063435
CLY24.C8BC.310_VT_e1_p1,3.796940224
CLY24.C8BC.310_VT_e2_p1,4.618058972
CLY24.C8BC.310_VT_e3_p1,4.024476685
CLY24.C8BC.313_VT_e0_p1,3.918383559
CLY24.C8BC.313_VT_e1_p1,3.607420335
CLY24.C8BC.313_VT_e2_p1,3.773061432
CLY24.C8BC.313_VT_e3_p1,4.300466774
CLY24.C8BC.318_VT_e0_p1,4.011687667
CLY24.C8BC.318_VT_e1_p1,3.78070221
CLY24.C8BC.318_VT_e2_p1,4.31222815
CLY24.C8BC.318_VT_e3_p1,3.771666112
CLY24.C8BC.321_VT_e0_p1,4.081142435
CLY24.C8BC.321_VT_e1_p1,4.108515471
CLY24.C8BC.321_VT_e2_p1,3.954717485
CLY24.C8BC.321_VT_e3_p1,4.194874648
CLY24.C8BC.324_VT_e0_p1,4.029706385
CLY24.C8BC.324_VT_e1_p1,3.893942423
CLY24.C8BC.324_VT_e2_p1,4.229968471
CLY24.C8BC.324_VT_e3_p1,4.020229379
CLY24.C8BC.327_VT_e0_p1,3.856517751
CLY24.C8BC.327_VT_e1_p1,4.065725427
CLY24.C8BC.327_VT_e2_p1,4.349315197
CLY24.C8BC.327_VT_e3_p1,3.887141763
CLY24.C8BC.330_VT_e0_p1,3.878644552
CLY24.C8BC.330_VT_e1_p1,3.726980905
CLY24.C8BC.330_VT_e2_p1,4.007068567
CLY24.C8BC.330_VT_e3_p1,3.713263669
CLY24.C8BC.331_VT_e0_p1,4.09988275
CLY24.C8BC.331_VT_e1_p1,4.379284917
