"","old_genotype","leaf","mean_predicted_N","plant"
"64","Zdip-CIM10003_P3_P4_P3.1.1.1","e1",3.01343164148427,"BD1, BD2, C"
"65","Zdip-CIM10003_P3_P4_P3.1.1.1","e2",2.95492398701636,"BD1, BD2, C"
"66","Zdip-CIM10003_P3_P4_P3.1.1.1","e3",3.46236208657652,"BD1, BD2"
"67","Zdip-CIM10003_P3_P5_P1.3.1.1","e1",2.86044681198845,"C, BD"
"68","Zdip-CIM10003_P3_P5_P1.3.1.1","e2",3.13333841899255,"C, BD"
"69","Zdip-CIM10003_P3_P5_P1.3.1.1","e3",3.19957608261644,"C, BD"
"70","Zdip-JLVTKV-719_P2_P1_P1.1.1.1","e1",3.46907810412458,"C, BD"
"71","Zdip-JLVTKV-719_P2_P1_P1.1.1.1","e2",2.895008283552,"C, BD"
"72","Zdip-JLVTKV-719_P2_P1_P1.1.1.1","e3",3.59746402768288,"C, BD"
"73","Zdip-JLVTKV-719_P2_P1_P2.1.1.1","e1",3.3943962962504,"C, BD"
"74","Zdip-JLVTKV-719_P2_P1_P2.1.1.1","e2",3.92578475686717,"C, BD"
"75","Zdip-JLVTKV-719_P2_P1_P2.1.1.1","e3",4.23798858876205,"C, BD"
"76","Zdip-JLVTKV-719_P2_P1_P3.2.1.1","e1",2.92624221472253,"C, BD"
"77","Zdip-JLVTKV-719_P2_P1_P3.2.1.1","e2",3.21550268215557,"C, BD"
"78","Zdip-JLVTKV-719_P2_P1_P3.2.1.1","e3",2.99617462991014,"C, BD"
"79","Zdip-JLVTKV-719_P2_P2_P1.1.1.1","e1",3.66320200857806,"C, BD"
"80","Zdip-JLVTKV-719_P2_P2_P1.1.1.1","e2",3.61399752217283,"C, BD"
"81","Zdip-JLVTKV-719_P2_P2_P1.1.1.1","e3",3.64349876826682,"C, BD"
"82","Zdip-JLVTKV-719_P2_P2_P2.5.1.1","e1",2.59017150288403,"C, BD"
"83","Zdip-JLVTKV-719_P2_P2_P2.5.1.1","e2",2.90425460426028,"C, BD"
"84","Zdip-JLVTKV-719_P2_P2_P2.5.1.1","e3",3.66359662851063,"C, BD"
"85","Zdip-JLVTKV-719_P2_P2_P3.1.1.1","e1",3.25571070819132,"C, BD"
"86","Zdip-JLVTKV-719_P2_P2_P3.1.1.1","e2",3.81602738336015,"C, BD"
"87","Zdip-JLVTKV-719_P2_P2_P3.1.1.1","e3",3.44784176692248,"C, BD"
"88","Zdip-JLVTKV-719_P2_P2_P4.4.1.1","e1",3.84427257610687,"C, BD"
"89","Zdip-JLVTKV-719_P2_P2_P4.4.1.1","e2",3.6221191088859,"C, BD"
"90","Zdip-JLVTKV-719_P2_P2_P4.4.1.1","e3",3.45011399176131,"C, BD"
"91","Zdip-JLVTKV-719_P2_P3_P1.3.1.1","e1",2.83193882401873,"C, BD"
"92","Zdip-JLVTKV-719_P2_P3_P1.3.1.1","e2",3.22399676988388,"C, BD"
"93","Zdip-JLVTKV-719_P2_P3_P1.3.1.1","e3",3.38554021130546,"C, BD"
