"old_genotype","leaf","mean_predicted_N","condition","stage","N_condition","count_condition"
"Zdip-CIM10003_P2_P1_P1.1.1.1","e1, e2, e3","3.29815333404733, 3.6855387316423, 3.04251067506781","e3_lowest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P1_P2.1.1.1","e1, e2, e3","2.56790091611433, 2.5771063016139, 1.93363677180893","e3_lowest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P2_P1.2.1.1","e1, e2, e3","2.5057684447902, 2.78987784804721, 3.62411846056571","e3_highest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P2_P2.1.1.1","e1, e2, e3","3.17280130050256, 3.03691615056511, 2.61777612738238","e3_lowest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P3_P1.2.1.1","e1, e2, e3","2.86310377317344, 3.01383525466108, 2.24020241989487","e3_lowest_med_R1","R1_med","med",1
"Zdip-CIM10003_P2_P3_P2.1.1.1","e1, e2, e3","3.39004476714129, 3.46705874466589, 4.57987421688518, 1.65851988003956, 1.78560549774242, -0.65439784947405, 4.11615482360071, 4.50243423340132, 3.79507603872362","e3_highest_med_VT, all_below_CI_med_R4, e3_lowest_med_R4, e3_lowest_high_VT","VT_med, R4_med, VT_high","med, high",4
"Zdip-CIM10003_P2_P3_P3.1.1.1","e1, e2, e3","2.59999708800855, 2.88749844177205, 3.62078973058397, 4.29861894846228, 4.37011561063859, 4.66297184663192","e3_highest_med_R4, all_above_CI_high_R1","R4_med, R1_high","med, high",2
"Zdip-CIM10003_P2_P3_P4.1.1.1","e1, e2, e3","2.65313444694961, 3.10221490929315, 2.8101399949249, 4.56051943571929, 4.62481745457683, 4.38355887392373","all_below_CI_med_VT, all_above_CI_high_R1","VT_med, R1_high","med, high",2
"Zdip-CIM10003_P2_P4_P1.2.1.1","e1, e2, e3","2.02973003611149, 2.09611749228351, 3.18413281931107","e3_highest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P4_P2.1.1.1","e1, e2, e3","2.88579046421098, 2.90709321658911, 2.03644519695004, 2.60960053359915, 2.86185854737761, 4.19765337904854, 4.5187692479959, 4.26162260281563, 4.47061339066848","e3_lowest_med_R1, e3_highest_med_R4, all_above_CI_high_R1","R1_med, R4_med, R1_high","med, high",3
