"old_genotype","leaf","mean_predicted_N","plant","condition"
"Zdip-JLVTKV-720_P1_P5_P3.1.1.1","e1",4.1056732904763,"C, BD","all_above_CI_med_VT"
"Zdip-JLVTKV-720_P1_P5_P3.1.1.1","e2",3.94956081556367,"C, BD","all_above_CI_med_VT"
"Zdip-JLVTKV-720_P1_P5_P3.1.1.1","e3",3.77835549046951,"C, BD","all_above_CI_med_VT"
"Zdip-JSG-RMM-LCL-551_P2_P4_P2.3.1.1","e1",3.72508581804505,"C, BD","all_above_CI_med_VT"
"Zdip-JSG-RMM-LCL-551_P2_P4_P2.3.1.1","e2",3.87850199062256,"C, BD","all_above_CI_med_VT"
"Zdip-JSG-RMM-LCL-551_P2_P4_P2.3.1.1","e3",3.76894694044237,"C, BD","all_above_CI_med_VT"
"Zdip-JLVTKV-720_P1_P1_P2.1.1.1","e1",1.83061682668188,"C, BD","all_below_CI_med_VT"
"Zdip-JLVTKV-720_P1_P1_P2.1.1.1","e2",2.25463700964214,"C, BD","all_below_CI_med_VT"
"Zdip-JLVTKV-720_P1_P1_P2.1.1.1","e3",2.05008308478056,"C, BD","all_below_CI_med_VT"
"Zdip-JLVTKV-719_P2_P5_P5.1.1.1","e1",2.78136974384921,"C, BD","e3_lowest_med_VT"
"Zdip-JLVTKV-719_P2_P5_P5.1.1.1","e2",2.98995153573593,"C, BD","e3_lowest_med_VT"
"Zdip-JLVTKV-719_P2_P5_P5.1.1.1","e3",2.11657844057753,"C, BD","e3_lowest_med_VT"
"Zdip-JLVTKV-720_P1_P5_P4.2.1.1","e1",3.22498337218074,"C, BD","e3_lowest_med_VT"
"Zdip-JLVTKV-720_P1_P5_P4.2.1.1","e2",3.50955460908786,"C, BD","e3_lowest_med_VT"
"Zdip-JLVTKV-720_P1_P5_P4.2.1.1","e3",2.83867866959908,"C, BD","e3_lowest_med_VT"
"Zdip-JSG-RMM-LCL-551_P2_P3_P1.2.1.1","e1",3.20441816531985,"C, BD","e3_lowest_med_VT"
"Zdip-JSG-RMM-LCL-551_P2_P3_P1.2.1.1","e2",3.08889526400346,"C, BD","e3_lowest_med_VT"
"Zdip-JSG-RMM-LCL-551_P2_P3_P1.2.1.1","e3",2.37747378574124,"C, BD","e3_lowest_med_VT"
